condition_id,experiment_id,platform_id,comparability,phase,workload,mode,throughput_unit,required_trials,completed_trials,failed_trials,evidence_status,outliers_excluded,runtime_mean_seconds,runtime_median_seconds,runtime_std_seconds,runtime_cv_percent,runtime_ci95_low_seconds,runtime_ci95_high_seconds,throughput_tokens_mean,throughput_tokens_median,throughput_tokens_std,throughput_tokens_ci95_low,throughput_tokens_ci95_high,throughput_samples_mean,throughput_samples_median,throughput_samples_std,throughput_samples_ci95_low,throughput_samples_ci95_high
E054@h100,E054,h100,exact,Distributed training strategy,gpt2_small,training,training_tokens_per_second,3,3,0,sufficient,0,27.346469735338662,27.460478666005656,0.3969875386206556,1.451695748894585,26.36021842491528,28.332721045762042,265114.3616819169,265127.9762409803,702.8557449848386,263368.23029971187,266860.4930641221,258.900743829997,258.91403929783235,0.6863825634617564,257.19553740206237,260.60595025793174
E054@l40s,E054,l40s,exact,Distributed training strategy,gpt2_small,training,training_tokens_per_second,3,3,0,sufficient,0,46.66469409704829,47.126369439065456,1.5151342733245505,3.246853542366601,42.90058813108847,50.42880006300811,125642.92876004415,125756.67915855156,339.0010467191367,124800.73550701828,126485.12201306995,122.69817261723061,122.80925699077301,0.33105570968665693,121.87571826857254,123.52062696588862
E055@h100,E055,h100,exact,Distributed training strategy,distilbert,training,training_tokens_per_second,3,3,0,sufficient,0,11.601428512639055,11.791940476978198,0.7635830237715414,6.581801740532761,9.704430031456635,13.498426993821475,1256938.025787784,1254164.4792212003,6042.531274647893,1241926.33446719,1271949.7171083784,2454.9570816167657,2449.539998478907,11.801818895796666,2425.6373720062306,2484.2767912273016
E055@l40s,E055,l40s,exact,Distributed training strategy,distilbert,training,training_tokens_per_second,3,3,0,sufficient,0,18.545810325847317,18.246225653216243,1.5887423847888877,8.56658380990048,14.598836916134145,22.492783735560486,470572.405203688,470341.1751961233,509.8230952149456,469305.83220876014,471838.9781986161,919.0867289134532,918.6351078049283,0.9957482328416907,916.6129535327347,921.5605042941721
E056@h100,E056,h100,exact,Distributed training strategy,distilbert,training,training_tokens_per_second,3,3,0,sufficient,0,16.977714340629365,16.910491438931786,0.20736729954572028,1.2214088150221118,16.46254383521118,17.492884846047552,2543518.180523716,2541594.9586898773,13488.078933819546,2510009.230671552,2577027.13037588,4967.808946335383,4964.052653691167,26.3439041676163,4902.361778655375,5033.25611401539
E056@l40s,E056,l40s,exact,Distributed training strategy,distilbert,training,training_tokens_per_second,3,3,0,sufficient,0,19.782893194196124,17.42321343207732,4.152510493339643,20.99041051567675,9.466652715130424,30.099133673261825,902295.0765869612,902125.4272478347,473.5044914336972,901118.7312870799,903471.4218868425,1762.2950714589085,1761.9637250934272,0.9248134598314398,1759.9975220450779,1764.5926208727392
E057@h100,E057,h100,exact,Distributed training strategy,distilbert,training,training_tokens_per_second,3,3,0,sufficient,0,12.634235842657896,13.441440477967262,1.5269854798292555,12.086092889556348,8.840687471563708,16.427784213752084,1276278.3989489947,1275391.3837244092,2464.8991405599413,1270154.7558344393,1282402.04206355,2492.7312479472553,2490.9987963367366,4.814256133906135,2480.7710074891393,2504.6914884053713
E057@l40s,E057,l40s,exact,Distributed training strategy,distilbert,training,training_tokens_per_second,3,3,0,sufficient,0,23.065743590549875,21.8682575202547,3.2796081341918866,14.2185233323046,14.918087794450198,31.213399386649552,500016.32213397714,500073.12005125266,111.79066337466097,499738.5963176217,500294.0479503326,976.5943791679241,976.7053126001028,0.2183411394036347,976.0519459328549,977.1368124029933
E058@h100,E058,h100,exact,Distributed training strategy,distilbert,training,training_tokens_per_second,3,3,0,sufficient,0,16.98466248868499,17.071799692930654,0.18129145794293677,1.067383341080291,16.534273192874778,17.4350517844952,2708000.8819368468,2715865.8022243395,15669.494557703785,2669072.5579020344,2746929.205971659,5289.064222532904,5304.425394969413,30.604481558015205,5213.032339652411,5365.096105413397
E058@l40s,E058,l40s,exact,Distributed training strategy,distilbert,training,training_tokens_per_second,3,3,0,sufficient,0,19.994503427607317,20.77856809925288,2.6658447606029942,13.332888062236853,13.371643431383724,26.61736342383091,754538.8384985136,764478.8904901282,20176.936408095826,704412.5044529785,804665.1725440486,1473.7086689424093,1493.1228329885316,39.40807892206216,1375.8056727597236,1571.611665125095
E059@h100,E059,h100,exact,Distributed training strategy,distilbert,training,training_tokens_per_second,3,3,0,sufficient,0,13.166800562680388,13.460654129041359,0.5782732444644182,4.391904029468327,11.73017424660655,14.603426878754226,1279406.2939504664,1279253.017188656,4284.458366579555,1268762.250328404,1290050.337572529,2498.8404178720048,2498.5410491965936,8.368082747225694,2478.051270172664,2519.6295655713457
E059@l40s,E059,l40s,exact,Distributed training strategy,distilbert,training,training_tokens_per_second,3,3,0,sufficient,0,26.23208020844807,25.522694784216583,1.3201957817789585,5.032752916613101,22.952267385307806,29.511893031588336,500697.33067627344,501064.5686095438,2234.809347852033,495145.3084250873,506249.3529274596,977.9244739770966,978.6417355655152,4.364862007523502,967.0806805177486,988.7682674364445
E060@h100,E060,h100,exact,Distributed training strategy,distilbert,training,training_tokens_per_second,3,3,0,sufficient,0,15.46923627331853,15.280459166038781,0.43646757743619646,2.8215198845273277,14.384903193999627,16.55356935263743,1182332.411618686,1184241.9468367868,4571.227976497318,1170975.935297719,1193688.8879396531,2309.242991442746,2312.9725524155992,8.928179641596325,2287.0623736283574,2331.423609257135
E060@l40s,E060,l40s,exact,Distributed training strategy,distilbert,training,training_tokens_per_second,3,3,0,sufficient,0,21.215233660303056,21.029306986834854,1.0878777158521673,5.127813972125854,18.51257748482841,23.917889835777704,515539.7771567111,517160.8064834145,3513.486307777728,506811.0888778793,524268.46543554286,1006.9136272592013,1010.0797001629189,6.862277944878375,989.865407964608,1023.9618465537947
E061@h100,E061,h100,exact,Distributed training strategy,distilbert,training,training_tokens_per_second,3,3,0,sufficient,0,15.256719395983964,15.180235208012164,0.2372777266355584,1.5552342576217084,14.667241273719236,15.846197518248692,1173375.2417675676,1169227.3280176136,9799.302983193573,1149030.4589514867,1197720.0245836484,2291.7485190772804,2283.6471250344016,19.139263639049947,2244.2001151396225,2339.2969230149383
